pos_0,pos_1,pos_2,pos_3,avg_guesses
5,2,1,4,4.00
5,2,1,5,4.00
5,2,2,0,5.00
5,2,2,1,5.00
5,2,2,2,5.00
5,2,2,3,3.00
5,2,2,4,3.00
5,2,2,5,4.00
5,2,3,0,5.00
5,2,3,1,4.00
5,2,3,2,5.00
5,2,3,3,4.00
5,2,3,4,3.00
5,2,3,5,6.00
5,2,4,0,5.00
5,2,4,1,3.00
5,2,4,2,4.00
5,2,4,3,5.00
5,2,4,4,6.00
5,2,4,5,5.00
5,2,5,0,5.00
5,2,5,1,5.00
5,2,5,2,5.00
5,2,5,3,4.00
5,2,5,4,5.00
5,2,5,5,5.00
5,3,0,0,4.00
5,3,0,1,5.00
5,3,0,2,3.00
5,3,0,3,4.00
5,3,0,4,4.00
5,3,0,5,3.00
5,3,1,0,5.00
5,3,1,1,4.00
5,3,1,2,5.00
5,3,1,3,4.00
5,3,1,4,4.00
5,3,1,5,4.00
5,3,2,0,5.00
5,3,2,1,5.00
5,3,2,2,7.00
5,3,2,3,3.00
5,3,2,4,5.00
5,3,2,5,5.00
5,3,3,0,3.00
5,3,3,1,5.00
5,3,3,2,5.00
5,3,3,3,5.00
5,3,3,4,5.00
5,3,3,5,5.00
5,3,4,0,4.00
5,3,4,1,5.00
5,3,4,2,6.00
5,3,4,3,4.00
5,3,4,4,5.00
5,3,4,5,4.00
5,3,5,0,5.00
5,3,5,1,5.00
5,3,5,2,5.00
5,3,5,3,4.00
5,3,5,4,5.00
5,3,5,5,5.00
5,4,0,0,5.00
5,4,0,1,5.00
5,4,0,2,5.00
5,4,0,3,3.00
5,4,0,4,4.00
5,4,0,5,4.00
5,4,1,0,3.00
5,4,1,1,2.00
5,4,1,2,4.00
5,4,1,3,5.00
5,4,1,4,4.00
5,4,1,5,6.00
5,4,2,0,4.00
5,4,2,1,5.00
5,4,2,2,4.00
5,4,2,3,4.00
5,4,2,4,4.00
5,4,2,5,5.00
5,4,3,0,4.00
5,4,3,1,5.00
5,4,3,2,4.00
5,4,3,3,4.00
5,4,3,4,4.00
5,4,3,5,5.00
5,4,4,0,4.00
5,4,4,1,2.00
5,4,4,2,5.00
5,4,4,3,4.00
5,4,4,4,4.00
5,4,4,5,6.00
5,4,5,0,5.00
5,4,5,1,6.00
5,4,5,2,5.00
5,4,5,3,3.00
5,4,5,4,4.00
5,4,5,5,6.00
5,5,0,0,3.00
5,5,0,1,4.00
5,5,0,2,5.00
5,5,0,3,5.00
5,5,0,4,5.00
5,5,0,5,3.00
5,5,1,0,4.00
5,5,1,1,4.00
5,5,1,2,5.00
5,5,1,3,5.00
5,5,1,4,4.00
5,5,1,5,5.00
5,5,2,0,4.00
5,5,2,1,5.00
5,5,2,2,5.00
5,5,2,3,5.00
5,5,2,4,5.00
5,5,2,5,4.00
5,5,3,0,4.00
5,5,3,1,4.00
5,5,3,2,5.00
5,5,3,3,3.00
5,5,3,4,5.00
5,5,3,5,4.00
5,5,4,0,4.00
5,5,4,1,6.00
5,5,4,2,4.00
5,5,4,3,5.00
5,5,4,4,5.00
5,5,4,5,5.00
5,5,5,0,5.00
5,5,5,1,3.00
5,5,5,2,5.00
5,5,5,3,3.00
5,5,5,4,4.00
5,5,5,5,6.00
